1.1 Complete field assessments (barrier assessments and habitat confirmations) for top-ranked and select structures within Takla WCRP geographic scope ,Takla Nation ,CWF   
2. Incorporate field assessment data into model and determine next steps for assessed structures ,CWF  , Takla Nation 
3. Re-run connectivity models with updated habitat and passage assessment data  ,CWF  , Takla Nation 
4. Update WCRP  ,CWF ,Takla Nation 
