Name ,Organization 
Keith West ,Takla Nation 
Cory Williamson ,Takla Nation 
Mitch McFarlane ,Takla Nation 
Hannah Potsma  ,Takla Nation 
Sarah Sra ,Canadian Wildlife Federation 
Nick Lapointe ,Canadian Wildlife Federation 
Laura Bernardi ,Canadian Wildlife Federation 
Betty Rebellato ,Canadian Wildlife Federation 
Joshua Noseworthy ,Global Conservation Solutions 
